codigo_1;sigla_1;asignatura_1;codigo_2;sigla_2;asignatura_2;coordinacion_explicita;dependencia_normativa;coseno_tfidf;similitud_lsa;delta_semantico
101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;101555;EV;ECOFISIOLOGÍA VEGETAL;0;0;0,0320;0,8949;0,8629
101526;FF;FUNDAMENTOS DE FÍSICA;101555;EV;ECOFISIOLOGÍA VEGETAL;0;0;0,0098;0,8719;0,8621
101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;101555;EV;ECOFISIOLOGÍA VEGETAL;0;0;0,0061;0,8679;0,8618
101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;660007;EDAF;EDAFOLOGÍA;0;0;0,0200;0,8782;0,8582
101530;AHMA;ACTIVIDADES HUMANAS Y MEDIO AMBIENTE;660059;OGP;ORGANIZACIÓN Y GESTIÓN DE PROYECTOS;0;0;0,0169;0,8735;0,8566
101553;IGA;INTERACCIÓN DE GENES Y AMBIENTE;101557;GCP;GESTIÓN DE CAZA Y PESCA;0;0;0,0669;0,9218;0,8549
101532;BIA;BASES DE INGENIERIA AMBIENTAL;101555;EV;ECOFISIOLOGÍA VEGETAL;0;0;0,0448;0,8988;0,8540
101528;FM;FUNDAMENTOS DE MATEMÁTICAS;101552;ADA;ANÁLISIS DE DATOS AMBIENTALES;0;0;0,0035;0,8572;0,8537
101526;FF;FUNDAMENTOS DE FÍSICA;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;0;0;0,0206;0,8714;0,8508
101526;FF;FUNDAMENTOS DE FÍSICA;101532;BIA;BASES DE INGENIERIA AMBIENTAL;0;0;0,1290;0,9793;0,8503
101549;GE;GESTIÓN DE ECOSISTEMAS;101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;0;0;0,0397;0,8900;0,8503
