codigo_1;sigla_1;asignatura_1;curso_1;cuatrimestre_1;codigo_2;sigla_2;asignatura_2;curso_2;cuatrimestre_2;coordinacion_explicita;dependencia_normativa;coseno_tfidf;similitud_lsa;delta_semantico;u_confluencia;u_solapamiento_sincronico;u_solapamiento_diacronico
101532;BIA;BASES DE INGENIERIA AMBIENTAL;2;2C;101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;3;2C;0;0;0,0933;0,9727;0,8794;1,0000;0,0000;0,2165
101532;BIA;BASES DE INGENIERIA AMBIENTAL;2;2C;101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;3;1C;0;0;0,0293;0,9084;0,8791;1,0000;0,0000;0,0000
101523;FQ;FUNDAMENTOS DE QUÍMICA;1;1C;101555;EV;ECOFISIOLOGÍA VEGETAL;4;2C;0;0;0,0278;0,9057;0,8779;1,0000;0,0000;0,0000
101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;3;1C;101563;FA;FISICOQUÍMICA DE AGUAS;4;2C;0;0;0,1177;0,9913;0,8736;1,0000;0,0000;0,3385
101526;FF;FUNDAMENTOS DE FÍSICA;1;1C;101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;2;1C;0;0;0,0267;0,8988;0,8721;1,0000;0,0000;0,0000
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;2;1C;101532;BIA;BASES DE INGENIERIA AMBIENTAL;2;2C;0;0;0,0317;0,9025;0,8708;1,0000;0,0000;0,0000
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;2;1C;101545;EST;ESTADÍSTICA;1;2C;0;0;0,0071;0,8740;0,8669;1,0000;0,0000;0,0000
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;2;1C;660007;EDAF;EDAFOLOGÍA;2;2C;0;0;0,0200;0,8854;0,8654;1,0000;0,0000;0,0000
101530;AHMA;ACTIVIDADES HUMANAS Y MEDIO AMBIENTE;1;2C;101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;4;2C;0;0;0,0403;0,9047;0,8644;1,0000;0,0000;0,0000
101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;3;1C;101555;EV;ECOFISIOLOGÍA VEGETAL;4;2C;0;0;0,0405;0,9042;0,8637;1,0000;0,0000;0,0000
101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;3;1C;101555;EV;ECOFISIOLOGÍA VEGETAL;4;2C;0;0;0,0320;0,8949;0,8629;1,0000;0,0000;0,0000
101526;FF;FUNDAMENTOS DE FÍSICA;1;1C;101555;EV;ECOFISIOLOGÍA VEGETAL;4;2C;0;0;0,0098;0,8719;0,8621;1,0000;0,0000;0,0000
101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;3;2C;101555;EV;ECOFISIOLOGÍA VEGETAL;4;2C;0;0;0,0061;0,8679;0,8618;1,0000;0,0000;0,0000
101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;3;1C;660007;EDAF;EDAFOLOGÍA;2;2C;0;0;0,0200;0,8782;0,8582;1,0000;0,0000;0,0000
101530;AHMA;ACTIVIDADES HUMANAS Y MEDIO AMBIENTE;1;2C;660059;OGP;ORGANIZACIÓN Y GESTIÓN DE PROYECTOS;4;1C;0;0;0,0169;0,8735;0,8566;1,0000;0,0000;0,0000
101553;IGA;INTERACCIÓN DE GENES Y AMBIENTE;4;1C;101557;GCP;GESTIÓN DE CAZA Y PESCA;4;2C;0;0;0,0669;0,9218;0,8549;1,0000;0,0000;0,0000
101532;BIA;BASES DE INGENIERIA AMBIENTAL;2;2C;101555;EV;ECOFISIOLOGÍA VEGETAL;4;2C;0;0;0,0448;0,8988;0,8540;1,0000;0,0000;0,0000
101528;FM;FUNDAMENTOS DE MATEMÁTICAS;1;1C;101552;ADA;ANÁLISIS DE DATOS AMBIENTALES;4;1C;0;0;0,0035;0,8572;0,8537;1,0000;0,0000;0,0000
101526;FF;FUNDAMENTOS DE FÍSICA;1;1C;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;3;1C;0;0;0,0206;0,8714;0,8508;1,0000;0,0000;0,0000
101526;FF;FUNDAMENTOS DE FÍSICA;1;1C;101532;BIA;BASES DE INGENIERIA AMBIENTAL;2;2C;0;0;0,1290;0,9793;0,8503;1,0000;0,0000;0,3950
101549;GE;GESTIÓN DE ECOSISTEMAS;2;2C;101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;4;2C;0;0;0,0397;0,8900;0,8503;1,0000;0,0000;0,0000
101528;FM;FUNDAMENTOS DE MATEMÁTICAS;1;1C;101545;EST;ESTADÍSTICA;1;2C;0;0;0,0200;0,8683;0,8483;1,0000;0,0000;0,0000
101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;3;1C;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;3;1C;0;0;0,0182;0,8653;0,8471;1,0000;0,0000;0,0000
101537;GMF;GESTIÓN DEL MEDIO FÍSICO;3;1C;101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;4;2C;0;0;0,0522;0,8960;0,8438;1,0000;0,0000;0,0110
101523;FQ;FUNDAMENTOS DE QUÍMICA;1;1C;101532;BIA;BASES DE INGENIERIA AMBIENTAL;2;2C;0;0;0,0811;0,9223;0,8412;1,0000;0,0000;0,1555
101547;CE;CALIDAD Y EMPRESA;4;1C;101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;4;2C;0;0;0,0599;0,9000;0,8401;1,0000;0,0000;0,0000
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;2;1C;101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;3;2C;0;0;0,0377;0,8777;0,8400;1,0000;0,0000;0,0000
101524;QA;QUÍMICA AMBIENTAL;2;1C;101526;FF;FUNDAMENTOS DE FÍSICA;1;1C;0;0;0,0204;0,8579;0,8375;1,0000;0,0000;0,0000
101555;EV;ECOFISIOLOGÍA VEGETAL;4;2C;101563;FA;FISICOQUÍMICA DE AGUAS;4;2C;0;0;0,0782;0,9107;0,8325;1,0000;0,1410;0,0000
101524;QA;QUÍMICA AMBIENTAL;2;1C;101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;3;1C;0;0;0,0717;0,9037;0,8320;1,0000;0,0000;0,1085
101555;EV;ECOFISIOLOGÍA VEGETAL;4;2C;660007;EDAF;EDAFOLOGÍA;2;2C;0;0;0,0685;0,9005;0,8320;1,0000;0,0000;0,0925
101524;QA;QUÍMICA AMBIENTAL;2;1C;101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;3;2C;0;0;0,0135;0,8454;0,8319;1,0000;0,0000;0,0000
101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;3;1C;101563;FA;FISICOQUÍMICA DE AGUAS;4;2C;0;0;0,0295;0,8614;0,8319;1,0000;0,0000;0,0000
101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;3;2C;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;3;1C;0;0;0,0299;0,8606;0,8307;1,0000;0,0000;0,0000
101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;1;2C;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;4;2C;0;0;0,0023;0,8262;0,8239;1,0000;0,0000;0,0000
101538;FZPEMA;FUNDAMENTOS ZOOLÓGICOS PARA EL ESTUDIO DEL MEDIO AMBIENTE;1;2C;101547;CE;CALIDAD Y EMPRESA;4;1C;0;0;0,0265;0,8494;0,8229;1,0000;0,0000;0,0000
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;2;1C;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;4;2C;0;0;0,0108;0,8295;0,8187;1,0000;0,0000;0,0000
101560;PTU;PLANEAMIENTO TERRITORIAL Y URBANO;4;1C;660059;OGP;ORGANIZACIÓN Y GESTIÓN DE PROYECTOS;4;1C;0;0;0,0653;0,8830;0,8177;1,0000;0,0765;0,0000
101524;QA;QUÍMICA AMBIENTAL;2;1C;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;3;1C;0;0;0,0668;0,8840;0,8172;1,0000;0,0000;0,0840
101523;FQ;FUNDAMENTOS DE QUÍMICA;1;1C;101563;FA;FISICOQUÍMICA DE AGUAS;4;2C;0;0;0,1763;0,9919;0,8156;1,0000;0,0000;0,6315
101532;BIA;BASES DE INGENIERIA AMBIENTAL;2;2C;101545;EST;ESTADÍSTICA;1;2C;0;0;0,0031;0,8184;0,8153;1,0000;0,0000;0,0000
